ACARA ID,School Name,Suburb,Postcode,Type,Geolocation,Latitude,Longitude,BE Score,School Sector,Campus Type,Governing Body,Year Range,ICSEA,Bottom SEA Quarter (%),Lower Middle SEA Quarter (%),Upper Middle SEA Quarter (%),Top SEA Quarter (%),Teaching Staff,Full Time Equivalent Teaching Staff,Non-Teaching Staff,Full Time Equivalent Non-Teaching Staff,Total Enrolments,Girls Enrolments,Boys Enrolments,Full Time Equivalent Enrolments,Indigenous Enrolments (%),Language Background Other Than English (%)
40374,Holy Spirit Infants School,Abermain,2326,Primary,Major Cities,-32.8109,151.443,,Catholic,School Single Entity,Catholic Schools NSW,K-2,995,28,32,29,11,11,8.2,13,6,148,75,73,148,11,13
42326,Afterlee Public School,Afterlee,2474,Primary,Inner Regional,-28.5823,152.818,,Government,School Single Entity,Department of Education NSW,K-6,953,66,20,10,4,2,1.3,2,1.2,10,6,4,10,0,0
40375,St Joseph's Catholic Primary School Como - Oyster Bay,Como,2226,Primary,Major Cities,-34.0093,151.073,,Catholic,School Single Entity,Catholic Schools NSW,K-6,1131,2,11,32,55,28,21.8,13,6.9,443,222,221,443,1,12
40378,St Therese's Community Parish School,Wilcannia,2836,Primary,Very Remote,-31.5591,143.379,,Catholic,School Single Entity,Catholic Schools NSW,K-5,804,56,24,11,8,5,5,7,5.1,27,13,14,27,78,11
40381,Highfields Preparatory and Kindergarten School,Lindfield,2070,Primary,Major Cities,-33.775,151.164,,Independent,School Single Entity,Association of Independent Schools of New South Wales,K-2,1166,1,3,17,80,13,10.4,5,4.1,87,45,42,87,0,51
42339,Albert Park Public School,East Lismore,2480,Primary,Inner Regional,-28.8216,153.272,69,Government,School Single Entity,Department of Education NSW,"U, K-6",898,56,20,18,7,6,8.2,5,3.4,97,36,61,97,32,5
40384,Coffs Harbour Christian Community School,Bonville,2450,Combined,Inner Regional,-30.3782,153.057,,Independent,School Head Campus,Association of Independent Schools of New South Wales,K-12,1038,20,27,31,22,62,59,57,52.1,886,458,428,886,2,12
42716,Albion Park Public School,Albion Park,2527,Primary,Major Cities,-34.5703,150.773,79,Government,School Single Entity,Department of Education NSW,"U, K-6",975,43,34,17,6,27,30.1,10,7.6,487,229,258,487,6,6
40408,Tangara School for Girls,Cherrybrook,2126,Combined,Major Cities,-33.7364,151.036,99,Independent,School Single Entity,Association of Independent Schools of New South Wales,K-12,1135,3,12,25,60,69,53.8,21,11.4,616,560,56,616,0,32
42861,Albion Park Rail Public School,Albion Park,2527,Primary,Major Cities,-34.5676,150.799,70,Government,School Single Entity,Department of Education NSW,"U, K-6",898,63,27,9,1,22,27,10,7.8,364,167,197,364,22,8
40409,Heritage Christian School,Port Macquarie,2444,Combined,Inner Regional,-31.4303,152.882,75,Independent,School Single Entity,Association of Independent Schools of New South Wales,K-12,995,27,33,27,13,41,34.4,28,21,370,179,191,370,11,2
42654,Albury North Public School,Albury,2640,Primary,Inner Regional,-36.0642,146.932,69,Government,School Single Entity,Department of Education NSW,"U, K-6",878,74,17,7,1,22,22.5,6,4.7,247,116,131,247,17,18
42531,Albury Public School,Albury,2640,Primary,Inner Regional,-36.0825,146.919,85,Government,School Single Entity,Department of Education NSW,K-6,1049,16,24,34,27,30,34.3,5,4.1,630,308,322,630,4,10
42532,Albury West Public School,Albury,2640,Primary,Inner Regional,-36.0778,146.896,69,Government,School Single Entity,Department of Education NSW,K-6,867,67,18,9,6,11,13.2,4,1.9,141,76,65,141,28,6
