Location,School Name,Type,Latitude,Longitude,Better Education Score
Western Australia,CRAIGIE HEIGHTS PRIMARY SCHOOL,Primary,-31.79004304,115.7602644,86
Western Australia,EAST Western AustraliaIKIKI PRIMARY SCHOOL,Primary,-32.3040885,115.7605364,70
Western Australia,HEATHRIDGE PRIMARY SCHOOL,Primary,-31.76034748,115.7606344,93
Western Australia,SORRENTO PRIMARY SCHOOL,Primary,-31.83148916,115.7608293,97
Western Australia,NORTH BEACH PRIMARY SCHOOL,Primary,-31.85963391,115.7611061,91
Western Australia,THREE SPRINGS PRIMARY SCHOOL,Primary,-29.53502154,115.7611349,71
Western Australia,COTTESLOE PRIMARY SCHOOL,Primary,-32.002516,115.761337,95
Western Australia,LAKE JOONDALUP BAPTIST COLLEGE,Primary,-31.73747504,115.7614206,91
Western Australia,LAKE JOONDALUP BAPTIST COLLEGE,Secondary,-31.73747504,115.7614206,93
Western Australia,BAMBARA PRIMARY SCHOOL,Primary,-31.79830122,115.7614207,94
Western Australia,JOONDALUP PRIMARY SCHOOL,Primary,-31.72399412,115.7615597,80
Western Australia,Western AustraliaIKIKI PRIMARY SCHOOL,Primary,-32.31926622,115.7621332,80
Western Australia,FOUNDATION CHRISTIAN COLLEGE,Primary,-32.52931617,115.7622888,79
Western Australia,FOUNDATION CHRISTIAN COLLEGE,Secondary,-32.52931617,115.7622888,84
Western Australia,HILLMAN PRIMARY SCHOOL,Primary,-32.28293177,115.762409,73
Western Australia,LAKELANDS PRIMARY SCHOOL,Primary,-32.47803782,115.7624628,78
Western Australia,MOSMAN PARK PRIMARY SCHOOL,Primary,-32.01149157,115.7629025,98
Western Australia,COMET BAY COLLEGE,Secondary,-32.4158052,115.7629996,82
Western Australia,KAPINARA PRIMARY SCHOOL,Primary,-31.92497253,115.7630083,100
Western Australia,BELRIDGE SECONDARY COLLEGE,Secondary,-31.77038385,115.7631759,86
Western Australia,SOUTH PADBURY PRIMARY SCHOOL,Primary,-31.81230095,115.7644063,87
Western Australia,PRESBYTERIAN LADIES COLLEGE,Primary,-31.993592,115.764906,97
Western Australia,PRESBYTERIAN LADIES COLLEGE,Secondary,-31.993592,115.764906,99
Western Australia,WHITE GUM VALLEY PRIMARY SCHOOL,Primary,-32.05893654,115.764926,94
Western Australia,CITY BEACH PRIMARY SCHOOL,Primary,-31.93538508,115.765126,99
Western Australia,HOLY SPIRIT SCHOOL,Primary,-31.91694399,115.7652403,99
Western Australia,KOORANA PRIMARY SCHOOL,Primary,-32.34292727,115.7653169,70
Western Australia,NORTH COTTESLOE PRIMARY SCHOOL,Primary,-31.98901491,115.7653421,98
Western Australia,NANNUP DISTRICT HIGH SCHOOL,Secondary,-33.99015078,115.7655942,82
Western Australia,ST MARY'S ANGLICAN GIRLS' SCHOOL,Primary,-31.87697112,115.766244,99
Western Australia,ST MARY'S ANGLICAN GIRLS' SCHOOL,Secondary,-31.87697112,115.766244,100
Western Australia,DEANMORE PRIMARY SCHOOL,Primary,-31.88323747,115.7666076,97
Western Australia,ST JOHN'S SCHOOL,Primary,-31.89350925,115.7669125,94
Western Australia,SCARBOROUGH PRIMARY SCHOOL,Primary,-31.89699135,115.7670648,86
Western Australia,PADBURY CATHOLIC PRIMARY SCHOOL,Primary,-31.81657383,115.7671159,95
Western Australia,DUNCRAIG SENIOR HIGH SCHOOL,Secondary,-31.82190527,115.767131,95
Western Australia,RIVERSIDE PRIMARY SCHOOL,Primary,-32.5312506,115.7676587,74
Western Australia,IONA PRESENTATION COLLEGE,Primary,-32.00852636,115.7677349,93
Western Australia,IONA PRESENTATION COLLEGE,Secondary,-32.00852636,115.7677349,97
Western Australia,ST HILDA'S ANGLICAN SCHOOL FOR GIRLS,Primary,-32.005047,115.767812,100
Western Australia,ST HILDA'S ANGLICAN SCHOOL FOR GIRLS,Secondary,-32.005047,115.767812,100
Western Australia,ROCKINGHAM LAKES PRIMARY SCHOOL,Primary,-32.3575092,115.7680138,74
Western Australia,EDDYSTONE PRIMARY SCHOOL,Primary,-31.76706411,115.7690002,85
Western Australia,COMET BAY PRIMARY SCHOOL,Primary,-32.41132592,115.7694346,83
Western Australia,RICHMOND PRIMARY SCHOOL,Primary,-32.03667364,115.7700352,96
Western Australia,SWestern AustraliaNBOURNE PRIMARY SCHOOL,Primary,-31.97300265,115.7703599,94
Western Australia,WEMBLEY DOWNS PRIMARY SCHOOL,Primary,-31.91034618,115.7706072,93
Western Australia,DUNCRAIG PRIMARY SCHOOL,Primary,-31.83197629,115.7707544,92
Western Australia,WINTERFOLD PRIMARY SCHOOL,Primary,-32.07237013,115.7708899,87
Western Australia,COOGEE PRIMARY SCHOOL,Primary,-32.12709335,115.7718242,86
Western Australia,CARINE PRIMARY SCHOOL,Primary,-31.85137169,115.7725012,99
Western Australia,CHRIST THE KING SCHOOL,Primary,-32.072343,115.773117,88
Western Australia,SCOTCH COLLEGE,Primary,-31.98113329,115.7731945,97
Western Australia,SCOTCH COLLEGE,Secondary,-31.98113329,115.7731945,97
Western Australia,KERRY STREET COMMUNITY SCHOOL,Primary,-32.08253823,115.7737709,75
Western Australia,POYNTER PRIMARY SCHOOL,Primary,-31.84204111,115.7743695,97
Western Australia,FREMANTLE CHRISTIAN COLLEGE,Primary,-32.0843654,115.7751984,95
Western Australia,FREMANTLE CHRISTIAN COLLEGE,Secondary,-32.0843654,115.7751984,85
Western Australia,METHODIST LADIES' COLLEGE,Primary,-31.98701169,115.7755403,98
Western Australia,METHODIST LADIES' COLLEGE,Secondary,-31.98701169,115.7755403,99
Western Australia,CARINE SENIOR HIGH SCHOOL,Secondary,-31.85299735,115.775848,94
Western Australia,KARRINYUP PRIMARY SCHOOL,Primary,-31.86967092,115.7762892,94
Western Australia,MATER DEI COLLEGE,Secondary,-31.76466034,115.7765193,90
Western Australia,CHRIST CHURCH GRAMMAR SCHOOL,Primary,-31.98546117,115.7769868,99
Western Australia,CHRIST CHURCH GRAMMAR SCHOOL,Secondary,-31.98546117,115.7769868,100
Western Australia,INTERNATIONAL SCHOOL OF WESTERN AUSTRALIA,Primary,-31.8985,115.77762,100
Western Australia,INTERNATIONAL SCHOOL OF WESTERN AUSTRALIA,Secondary,-31.8985,115.77762,99
Western Australia,DOUBLEVIEW PRIMARY SCHOOL,Primary,-31.89845085,115.7776617,92
Western Australia,OUR LADY OF GOOD COUNSEL SCHOOL,Primary,-31.88071403,115.7778009,93
Western Australia,PHOENIX PRIMARY SCHOOL,Primary,-32.09257757,115.7794442,81
Western Australia,EDGEWestern AustraliaTER PRIMARY SCHOOL,Primary,-31.76289339,115.7804131,91
Western Australia,ST STEPHEN'S SCHOOL,Primary,-31.8192748,115.7806424,93
Western Australia,ST STEPHEN'S SCHOOL,Secondary,-31.8192748,115.7806424,95
Western Australia,NEWBOROUGH PRIMARY SCHOOL,Primary,-31.88428623,115.7810971,92
Western Australia,GLENGARRY PRIMARY SCHOOL,Primary,-31.82816781,115.7820552,95
Western Australia,FRESHWestern AustraliaTER BAY PRIMARY SCHOOL,Primary,-31.98588984,115.7823097,97
Western Australia,ST JEROME'S PRIMARY SCHOOL,Primary,-32.121502,115.782659,84
Western Australia,MOUNT CLAREMONT PRIMARY SCHOOL,Primary,-31.96810951,115.7826727,97
Western Australia,HALE SCHOOL,Primary,-31.91232249,115.7837828,100
Western Australia,HALE SCHOOL,Secondary,-31.91232249,115.7837828,99
Western Australia,HILTON PRIMARY SCHOOL,Primary,-32.06805492,115.7841355,81
Western Australia,SPEARWOOD ALTERNATIVE SCHOOL,Primary,-32.10779115,115.7843999,91
Western Australia,JOHN XXIII COLLEGE,Primary,-31.9599189,115.7847988,100
Western Australia,JOHN XXIII COLLEGE,Secondary,-31.9599189,115.7847988,97
Western Australia,SOUTHWELL PRIMARY SCHOOL,Primary,-32.09025841,115.7850833,68
Western Australia,PALMYRA PRIMARY SCHOOL,Primary,-32.04528094,115.7853129,88
Western Australia,CARRAMAR PRIMARY SCHOOL,Primary,-31.71147916,115.7857211,86
Western Australia,BICTON PRIMARY SCHOOL,Primary,-32.03272881,115.786548,96
Western Australia,SPEARWOOD PRIMARY SCHOOL,Primary,-32.10148403,115.7865958,75
Western Australia,OUR LADY OF FATIMA SCHOOL,Primary,-32.03860078,115.78661,93
Western Australia,NEWMAN COLLEGE,Primary,-31.9231958,115.7873551,93
Western Australia,NEWMAN COLLEGE,Secondary,-31.9231958,115.7873551,93
Western Australia,DAVALLIA PRIMARY SCHOOL,Primary,-31.84104283,115.7874618,95
Western Australia,HOLY ROSARY SCHOOL,Primary,-31.90928598,115.7874998,96
Western Australia,NORTH WOODVALE PRIMARY SCHOOL,Primary,-31.78461512,115.7883764,92
Western Australia,CREANEY PRIMARY SCHOOL,Primary,-31.80400875,115.7885224,89
Western Australia,OUR LADY OF MOUNT CARMEL SCHOOL,Primary,-32.07276796,115.7888671,93
Western Australia,ST THOMAS' PRIMARY SCHOOL,Primary,-31.97747472,115.7889843,97
Western Australia,NEWTON PRIMARY SCHOOL,Primary,-32.11215987,115.7890148,82
Western Australia,EAST HAMILTON HILL PRIMARY SCHOOL,Primary,-32.07753718,115.7892828,87
Western Australia,WOODLANDS PRIMARY SCHOOL,Primary,-31.91098138,115.7898281,94
Western Australia,YULUMA PRIMARY SCHOOL,Primary,-31.89226761,115.7899897,85
Western Australia,CHURCHLANDS SENIOR HIGH SCHOOL,Secondary,-31.91728978,115.7899902,98
Western Australia,DALMAIN PRIMARY SCHOOL,Primary,-31.81392422,115.7907121,91
Western Australia,ST DOMINIC'S SCHOOL,Primary,-31.89441457,115.7909199,98
Western Australia,FLOREAT PARK PRIMARY SCHOOL,Primary,-31.936844,115.79122,100
Western Australia,WEST GREENWOOD PRIMARY SCHOOL,Primary,-31.82628484,115.7914439,86
Western Australia,GREENWOOD COLLEGE,Secondary,-31.82628484,115.7914439,86
Western Australia,LIWestern AustraliaRA CATHOLIC PRIMARY SCHOOL,Primary,-31.83328555,115.7918194,88
Western Australia,TAPPING PRIMARY SCHOOL,Primary,-31.71523945,115.7922496,80
Western Australia,QUINTILIAN SCHOOL,Primary,-31.96696077,115.7923007,98
Western Australia,SPRING HILL PRIMARY SCHOOL,Primary,-31.7226147,115.7932625,82
Western Australia,SETON CATHOLIC COLLEGE,Secondary,-32.07269529,115.7933707,89
